n,m,seed,greedy,ga,q
1000.0,100.0,1.0,18610.31333333334,5100.686,3.64859027458921
1000.0,100.0,2.0,14258.778333333335,4058.4863333333333,3.5133242204667607
1000.0,100.0,3.0,20352.063333333343,5183.761666666667,3.926118645501
1000.0,100.0,4.0,15574.591666666665,4133.322333333333,3.7680563988597715
1000.0,100.0,5.0,15470.468333333336,3771.2486666666664,4.102213802572553
1000.0,100.0,6.0,14582.018333333333,3691.739,3.949904999604071
1000.0,100.0,7.0,19522.43166666667,5149.376333333334,3.791222548698293
1000.0,100.0,8.0,14783.91333333333,3748.501,3.9439534185353904
1000.0,100.0,9.0,15324.453333333335,3759.3960000000006,4.076307293334709
1000.0,100.0,10.0,15731.25833333333,4159.278,3.7822089154255445
1000.0,200.0,11.0,21068.109999999997,6536.661333333333,3.223068922442772
1000.0,200.0,12.0,20950.121666666666,6561.536,3.192868509243364
1000.0,200.0,13.0,20829.070000000003,6530.324666666667,3.1895917987538547
1000.0,200.0,14.0,16990.154999999995,5132.804666666667,3.310111353026356
1000.0,200.0,15.0,16655.936666666672,5148.269666666667,3.2352494614857337
1000.0,200.0,16.0,20140.838333333333,6575.5233333333335,3.0630015760469256
1000.0,200.0,17.0,20125.068333333333,6397.751666666665,3.1456469994276643
1000.0,200.0,18.0,16241.483333333335,5153.193333333334,3.1517318064268243
1000.0,200.0,19.0,15283.87666666667,4662.109999999999,3.278317471416735
1000.0,200.0,20.0,21420.145000000004,6534.756,3.2778798473883346
1000.0,344.0,21.0,21975.483333333337,7988.8916666666655,2.7507549545358305
1000.0,344.0,22.0,16725.825000000004,5817.18,2.8752462533392475
1000.0,344.0,23.0,16826.049999999996,6454.5503333333345,2.606850846464852
1000.0,344.0,24.0,16433.713333333337,5705.4220000000005,2.880367715715566
1000.0,344.0,25.0,16107.64333333333,5723.5650000000005,2.814267564591881
1000.0,344.0,26.0,21033.250000000007,7998.808333333334,2.6295479430790216
1000.0,344.0,27.0,17262.646666666664,6193.690333333334,2.7871342830561265
1000.0,344.0,28.0,21784.85833333333,8030.321666666666,2.7128251192926474
1000.0,344.0,29.0,21047.05166666667,8038.1410000000005,2.618397918954976
1000.0,344.0,30.0,21445.373333333337,8037.148666666666,2.668281280185353
2000.0,100.0,31.0,41353.30500000003,8473.440333333334,4.880344154584046
2000.0,100.0,32.0,30561.79666666667,6540.263333333332,4.672869441036779
2000.0,100.0,33.0,39096.74833333332,8364.925666666668,4.673890706420701
2000.0,100.0,34.0,36601.54833333333,8437.414666666667,4.338005156713881
2000.0,100.0,35.0,29983.644999999997,6594.445333333334,4.5468031781899665
2000.0,100.0,36.0,28205.468333333334,6519.159,4.326550147547151
2000.0,100.0,37.0,27556.02500000001,6007.705333333333,4.586780388030573
2000.0,100.0,38.0,29128.855000000003,6488.198333333333,4.489513652865627
2000.0,100.0,39.0,27247.12666666667,5914.747,4.606642797513853
